location_key,gdp_usd,gdp_per_capita_usd,human_capital_index
AE,421142267937,43103,0.659
AF,19101353832,502,0.389
AL,15278077446,5352,0.621
AM,13672802157,4622,0.572
AO,94635415869,2973,0.361
AR,449663446954,10006,0.611
AT,455140042000,51448,0.793
AU,1392680589329,54907,0.803
AZ,48047647058,4793,0.597
BA,20047848434,6073,0.618
BD,302571254131,1855,0.479
BE,542587364000,47436,0.757
BF,15745810234,774,0.369
BG,66182565600,9440,0.676
BH,38574069148,23503,0.668
BI,3012334881,261,0.38
BJ,14390709094,1219,0.406
BR,1839758040765,8717,0.56
BW,18340510789,7961,0.424
CA,1736425629519,46194,0.799
CD,47319624204,545,0.369
CG,10820591130,2011,0.42
CH,703082435360,81993,0.767
CI,58792205642,2286,0.353
CL,282318159744,14896,0.674
CM,38760467033,1497,0.394
CN,14342902842915,10261,0.673
CO,323802808108,6432,0.593
CR,61773944173,12238,0.619
CY,24942615800,28674,0.751
CZ,244932977600,23010,0.782
DE,3946356600000,47554,0.795
DK,355582262000,61360,0.774
DO,88941298257,8282,0.492
DZ,169988236398,3948,0.523
EC,107435665000,6183,0.602
EE,30722303000,23246,0.747
EG,303175127597,3020,0.486
ES,1418587740000,30326,0.743
ET,96107662398,857,0.385
FI,276654540000,50150,0.814
FR,2776646200000,41300,0.765
GA,16657960228,7667,0.453
GB,2860009176200,43070,0.781
GE,17743195770,4769,0.614
GH,66983634223,2202,0.439
GM,1763819047,751,0.397
GN,13590281808,1064,0.374
GR,217962048000,20296,0.681
GT,76710385879,4619,0.46
GY,4280443645,5468,0.495
HK,366029556273,48755,0.822
HN,25095395475,2574,0.49
HR,60917594400,14868,0.723
HT,8498981820,754,0.446
HU,157862996000,16166,0.703
ID,1119190780752,4135,0.535
IE,382365076000,78706,0.806
IL,395098666121,43641,0.763
IN,2875142314811,2104,0.44
IQ,234094042938,5955,0.398
IR,445345282122,5520,0.591
IS,24188035738,66944,0.74
IT,2083196780000,34456,0.769
JM,16458071067,5582,0.544
JO,43743661971,4330,0.562
JP,5081769542379,40246,0.844
KE,95503088538,1816,0.518
KG,8454619607,1309,0.58
KH,27089389786,1643,0.493
KI,194647201,1655,0.479
KM,1185728676,1393,0.409
KR,1642383217167,31761,0.845
KW,134761198945,32031,0.576
KZ,180161741180,9731,0.746
LA,18173839128,2534,0.452
LB,53367042272,7784,0.538
LK,84008783756,3853,0.584
LR,3070518100,621,0.319
LS,2460072443,1157,0.371
LT,53411968400,19116,0.712
LU,70862634400,116348,0.692
LV,34398215400,17818,0.724
MA,118725279596,3204,0.5
MD,11955435456,4498,0.58
ME,5494736901,8832,0.615
MG,14083906356,522,0.374
MK,12694823394,6093,0.534
ML,17510141171,890,0.317
MM,76085852617,1407,0.473
MN,13852850259,4295,0.626
MO,53859116535,84096,0.759
MR,7593752450,1677,0.353
MT,14606972200,30090,0.701
MU,14180444557,11203,0.626
MW,7666704427,411,0.407
MX,1258286717124,9863,0.607
MY,364701517787,11414,0.622
MZ,14934159925,491,0.361
NE,12928145120,554,0.316
NG,448120428858,2229,0.342
NI,12520915291,1912,0.531
NL,913366020000,52982,0.8
NO,403336363636,75419,0.771
NP,30641380604,1071,0.49
NZ,206928765543,42084,0.767
OM,76983094928,15474,0.622
PA,66800800000,15731,0.532
PE,226848050819,6977,0.586
PG,24969611434,2845,0.384
PH,376795508679,3485,0.548
PK,278221906022,1284,0.389
PL,585705873800,15222,0.747
PS,14615900000,3198,0.554
PT,240597516000,23364,0.776
PY,38145288939,5414,0.533
QA,183466208791,64781,0.615
RO,241475766400,12390,0.601
RS,51409167350,7402,0.755
RU,1699876578871,11584,0.729
RW,10122472590,801,0.374
SA,792966838161,23139,0.585
SB,1425074225,2127,0.443
SC,1698843062,17401,0.678
SD,18902284475,441,0.379
SE,556025322000,54634,0.8
SG,372062527488,65233,0.884
SI,53990687600,26078,0.788
SK,105870732800,19470,0.694
SL,3941474310,504,0.351
SN,23578084052,1446,0.418
SS,11997800760,1119,0.302
SV,27022640000,4187,0.501
SZ,4405405802,3837,0.409
TD,11314951342,709,0.293
TG,5459979416,675,0.413
TH,543649976165,7808,0.604
TJ,8116626794,870,0.533
TL,1673540300,1294,0.434
TN,38797709923,3317,0.508
TO,450353313,4364,0.512
TR,754411708202,9042,0.626
TT,24100202833,17276,0.613
TV,47271463,4059,0.554
TZ,63177068174,1122,0.4
UA,153781069118,3659,0.647
UG,34387229486,776,0.382
US,21374418877706,65118,0.762
UY,56045912952,16190,0.6
VN,261921244843,2715,0.666
VU,917058850,3058,0.471
YE,27591261663,968,0.369
ZA,351431649241,6001,0.406
ZM,23064722446,1291,0.396
ZW,21440758800,1463,0.441
